trialDuration,stimulus2Loaded,trialEndTime,maxTrialTime,stimulus1Bid,receivedResponse,delta,rt,selected,rsp,trialStartTime,trialN,stimulus2Bid,stimulus1,stimulus1Loaded,stimulus2
1164.73,True,130633.32,4000,1.65,True,-0.24,1164.73,RiceKrispyTreat_small,i,129468.59,100,1.41,Crunch,True,RiceKrispyTreat_small
2960.145,True,134102.22,4000,1.96,True,-0.12,2960.145,Jollyranchergreen,u,131142.075,101,1.84,Jollyranchergreen,True,Twix
231.245,True,134842.165,4000,0.95,True,1.02,231.245,Lollipopred,u,134610.92,102,1.97,Lollipopred,True,PayDay
87.575,True,135437.155,4000,1.58,True,0.05,87.575,Fritos,u,135349.58,103,1.63,Fritos,True,PringlesRed
1671.125,True,137617.05,4000,1.93,True,-0.09,1671.125,Reeses,u,135945.925,104,1.84,Reeses,True,Twix
97.875,True,138223.035,4000,1.96,True,0.44,97.875,Cheetos,i,138125.16,105,2.4,WheatThins,True,Cheetos
4002.645,True,142730.03,4000,1.34,False,-0.86,4002.645,None,NaN,138727.385,106,0.48,3Musketeers,True,FlamingCheetos
4000.875,True,147234.575,4000,0.95,False,0.19,4000.875,None,NaN,143233.7,107,1.14,Lollipopred,True,Cheezits
4001.92,True,151738.41,4000,2.24,False,-0.28,4001.92,None,NaN,147736.49,108,1.96,Almondjoy,True,Jollyranchergreen
3597.895,True,155842,4000,2.88,True,-1.47,3597.895,MrGoodbar,u,152244.105,109,1.41,MrGoodbar,True,ChipsAhoy_small
1852.815,True,158210.585,4000,1.52,True,0.11,1852.815,Keeblerfudgestripes,u,156357.77,110,1.63,Keeblerfudgestripes,True,PringlesRed
2773.92,True,161493.63,4000,0.21,True,0.2,2773.92,Doritosranch,u,158719.71,111,0.41,Doritosranch,True,Ruffles
196.245,True,162198.45,4000,2.4,True,0.1,196.245,FamousAmos_small,i,162002.205,112,2.5,Cheetos,True,FamousAmos_small
134.215,True,162841.465,4000,1.51,True,0.73,134.215,Laysclassic,u,162707.25,113,2.24,Laysclassic,True,Almondjoy
399.105,True,163749.385,4000,0.27,True,0.64,399.105,TootsieRolls,u,163350.28,114,0.91,TootsieRolls,True,Dots_one
174.225,True,164432.395,4000,1.48,True,-0.53,174.225,Lollipopred,i,164258.17,115,0.95,KitKat_small,True,Lollipopred
237.895,True,165178.355,4000,1.58,True,-0.07,237.895,Fritos,u,164940.46,116,1.51,Fritos,True,Laysclassic
971.18,True,166658.375,4000,0.21,True,0.24,971.18,MrsFields,i,165687.195,117,0.45,Doritosranch,True,MrsFields
472.32,True,167639.295,4000,0.45,True,0.21,472.32,MilkyWay,u,167166.975,118,0.66,MilkyWay,True,100grand_small
316.335,True,168464.295,4000,1.63,True,-0.12,316.335,PringlesRed,u,168147.96,119,1.51,PringlesRed,True,Laysclassic
329.025,True,169302.265,4000,1.93,True,0.14,329.025,Funyuns_small,i,168973.24,120,2.07,Granolabar,True,Funyuns_small
100.985,True,169912.145,4000,1.97,True,0.64,100.985,PayDay,u,169811.16,121,2.61,PayDay,True,FigNewton_small
370.84,True,170790.11,4000,1.93,True,-0.16,370.84,CheesyDoritos,i,170419.27,122,1.77,Reeses,True,CheesyDoritos
29.03,True,171328.035,4000,1.19,True,1.07,29.03,RitzBitz2,u,171299.005,123,2.26,RitzBitz2,True,Hersheykisses
395.78,True,172280.97,4000,2.26,True,0.73,395.78,Laffytaffyred_one,u,171885.19,124,2.99,Laffytaffyred_one,True,starburst
184.375,True,172974.015,4000,0.91,True,1.05,184.375,Dots_one,u,172789.64,125,1.96,Dots_one,True,Milano
563.2,True,174046.055,4000,1.14,True,-0.05,563.2,Cheezits,u,173482.855,126,1.09,Cheezits,True,TeddyGrahamschocolate
1963.51,True,176513.935,4000,2.4,True,-1.12,1963.51,Cheetos,u,174550.425,127,1.28,Cheetos,True,Whatchamacallit
24.18,True,177046.745,4000,1.58,True,-0.13,24.18,Cheese_PeanutButterCrackers,i,177022.565,128,1.45,Fritos,True,Cheese_PeanutButterCrackers
74.14,True,177679.575,4000,2.24,True,0.64,74.14,MrGoodbar,i,177605.435,129,2.88,Almondjoy,True,MrGoodbar
48.345,True,178232.78,4000,2.9,True,-0.06,48.345,AnimalCrackers,u,178184.435,130,2.84,AnimalCrackers,True,Goldfish
166.57,True,178904.705,4000,1.2,True,1.06,166.57,Chocolate_mm,u,178738.135,131,2.26,Chocolate_mm,True,Laffytaffyred_one
779.075,True,180192.645,4000,1.63,True,-0.22,779.075,Oreos,i,179413.57,132,1.41,PringlesRed,True,Oreos
3328.015,True,184026.455,4000,1.65,True,0.69,3328.015,Crunch,u,180698.44,133,2.34,Crunch,True,Sourpatch
142.425,True,184674.505,4000,1.2,True,-0.01,142.425,Chocolate_mm,u,184532.08,134,1.19,Chocolate_mm,True,RitzBitz2
138.355,True,185321.825,4000,2.26,True,0.36,138.355,Snickers,i,185183.47,135,2.62,Laffytaffyred_one,True,Snickers
273.46,True,186103.385,4000,0.45,True,0.21,273.46,Toberlorone,i,185829.925,136,0.66,MrsFields,True,Toberlorone
320.37,True,186928.48,4000,1.04,True,-0.61,320.37,Nutterbutter,u,186608.11,137,0.43,Nutterbutter,True,PeanutMMs
2055.985,True,189488.37,4000,1.48,True,0.03,2055.985,Ghiradelli_milk_Almonds,i,187432.385,138,1.51,KitKat_small,True,Ghiradelli_milk_Almonds
290.745,True,190288.255,4000,0.41,True,1.17,290.745,Fritos,i,189997.51,139,1.58,Ruffles,True,Fritos
439.385,True,191236.245,4000,0.24,True,0.9,439.385,PopTartsStrawberry,u,190796.86,140,1.14,PopTartsStrawberry,True,Cheezits
2141.72,True,193884.17,4000,0.45,True,0.83,2141.72,MrsFields,u,191742.45,141,1.28,MrsFields,True,Whatchamacallit
4002.015,True,198392.42,4000,2.34,False,-0.08,4002.015,None,NaN,194390.405,142,2.26,Sourpatch,True,Laffytaffyred_one
47.13,True,198944.875,4000,2.28,True,-0.35,47.13,Butterfinger,u,198897.745,143,1.93,Butterfinger,True,Granolabar
180.82,True,199656.835,4000,2.88,True,-0.92,180.82,MrGoodbar,u,199476.015,144,1.96,MrGoodbar,True,WheatThins
613.44,True,200780.615,4000,1.65,True,0.31,613.44,WheatThins,i,200167.175,145,1.96,Crunch,True,WheatThins
108.43,True,201393.725,4000,1.5,True,-0.29,108.43,Riprolls,i,201285.295,146,1.21,Milkduds,True,Riprolls
2001.905,True,203904.6,4000,2.28,True,-1.07,2001.905,Riprolls,i,201902.695,147,1.21,Butterfinger,True,Riprolls
228.29,True,204641.565,4000,0.48,True,1.36,228.29,Twix,i,204413.275,148,1.84,FlamingCheetos,True,Twix
171.095,True,205321.54,4000,1.45,True,0.03,171.095,KitKat_small,i,205150.445,149,1.48,Cheese_PeanutButterCrackers,True,KitKat_small
438.31,True,206268.625,4000,2.4,True,-0.14,438.31,Cheetos,u,205830.315,150,2.26,Cheetos,True,Laffytaffyred_one
117.34,True,206892.465,4000,2.07,True,-0.56,117.34,Ghiradelli_milk_Almonds,i,206775.125,151,1.51,Funyuns_small,True,Ghiradelli_milk_Almonds
333.24,True,207734.43,4000,1.65,True,-1.2,333.24,MilkyWay,i,207401.19,152,0.45,Crunch,True,MilkyWay
4003.7,True,212247.065,4000,1.27,False,0.24,4003.7,None,NaN,208243.365,153,1.51,BabyRuth,True,Ghiradelli_milk_Almonds
4005.405,True,216758.38,4000,1.41,False,0.04,4005.405,None,NaN,212752.975,154,1.45,Oreos,True,Cheese_PeanutButterCrackers
230.835,True,217494.045,4000,0.45,True,0,230.835,MrsFields,u,217263.21,155,0.45,MrsFields,True,MilkyWay
986.67,True,218987.055,4000,2.26,True,0,986.67,Laffytaffyred_one,i,218000.385,156,2.26,Hersheykisses,True,Laffytaffyred_one
47.5,True,219540.975,4000,2.5,True,0.49,47.5,FamousAmos_small,u,219493.475,157,2.99,FamousAmos_small,True,starburst
4001.795,True,224076.925,4000,1.51,False,-0.1,4001.795,None,NaN,220075.13,158,1.41,Laysclassic,True,RiceKrispyTreat_small
4005.375,True,228588.225,4000,1.39,False,-0.73,4005.375,None,NaN,224582.85,159,0.66,Skittles,True,100grand_small
116.385,True,229210.545,4000,1.93,True,-0.45,116.385,KitKat_small,i,229094.16,160,1.48,Reeses,True,KitKat_small
819.72,True,230540.34,4000,2.99,True,-0.09,819.72,AnimalCrackers,i,229720.62,161,2.9,starburst,True,AnimalCrackers
1747.225,True,232796.455,4000,1.48,True,1.51,1747.225,starburst,i,231049.23,162,2.99,KitKat_small,True,starburst
72.19,True,233376.335,4000,1.21,True,0.07,72.19,Whatchamacallit,i,233304.145,163,1.28,Riprolls,True,Whatchamacallit
4005.08,True,237884.405,4000,1.84,False,0.66,4005.08,None,NaN,233879.325,164,2.5,Twix,True,FamousAmos_small
294.38,True,238682.065,4000,2.28,True,-0.02,294.38,Hersheykisses,i,238387.685,165,2.26,Butterfinger,True,Hersheykisses
4005.39,True,243194.6,4000,1.96,False,-0.03,4005.39,None,NaN,239189.21,166,1.93,Jollyranchergreen,True,Granolabar
1105.62,True,244805.935,4000,1.96,True,0.88,1105.62,Goldfish,i,243700.315,167,2.84,Jollyranchergreen,True,Goldfish
463.245,True,245778.88,4000,0.03,True,0.18,463.245,Doritosranch,i,245315.635,168,0.21,Hersheymilk_several,True,Doritosranch
3738.85,True,250026.7,4000,1.93,True,-1.27,3738.85,100grand_small,i,246287.85,169,0.66,Reeses,True,100grand_small
70.395,True,250605.365,4000,1.52,True,-0.01,70.395,Keeblerfudgestripes,u,250534.97,170,1.51,Keeblerfudgestripes,True,Laysclassic
